chembl_id,name,smiles,first_approval
CHEMBL2,Prazosin,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,1976.0
CHEMBL3,Nicotine,CN1CCC[C@H]1c1cccnc1,1984.0
CHEMBL4,Ofloxacin,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,1990.0
CHEMBL5,Nalidixic Acid,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,1964.0
CHEMBL6,Indomethacin,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,1965.0
CHEMBL403,Sulbactam,CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,1986.0
CHEMBL404,Tazobactam,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,1993.0
CHEMBL8,Ciprofloxacin,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,1987.0
CHEMBL9,Norfloxacin,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,1986.0
CHEMBL405,Amphetamine,CC(N)Cc1ccccc1,1955.0
CHEMBL6622,Isosorbide Dinitrate,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-],1986.0
CHEMBL6437,Mianserin,CN1CCN2c3ccccc3Cc3ccccc3C2C1,
CHEMBL11,Imipramine,CN(C)CCCN1c2ccccc2CCc2ccccc21,1959.0
CHEMBL406,Indapamide,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,1983.0
CHEMBL407,Flumazenil,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,1991.0
CHEMBL408,Troglitazone,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,1997.0
CHEMBL409,Bicalutamide,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,1995.0
CHEMBL12,Diazepam,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,1963.0
CHEMBL13,Metoprolol,COCCc1ccc(OCC(O)CNC(C)C)cc1,1978.0
CHEMBL411,Diethylstilbestrol,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,1973.0
CHEMBL267936,Mecamylamine,CNC1(C)C2CCC(C2)C1(C)C,1956.0
CHEMBL14,Carbachol,C[N+](C)(C)CCOC(N)=O.[Cl-],1972.0
CHEMBL16,Phenytoin,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,1953.0
CHEMBL413,Sirolimus,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,1999.0
CHEMBL269732,Tacrolimus Anhydrous,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,1994.0
CHEMBL415,Clomipramine,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,1989.0
CHEMBL416,Methoxsalen,COc1c2occc2cc2ccc(=O)oc12,1954.0
CHEMBL17,Dichlorphenamide,NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1,1958.0
CHEMBL18,Ethoxzolamide,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,1982.0
CHEMBL417,Epirubicin,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1,1999.0
CHEMBL19,Methazolamide,CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C,1959.0
CHEMBL20,Acetazolamide,CC(=O)Nc1nnc(S(N)(=O)=O)s1,1953.0
CHEMBL419,Mafenide,NCc1ccc(S(N)(=O)=O)cc1,1969.0
CHEMBL21,Sulfanilamide,Nc1ccc(S(N)(=O)=O)cc1,1985.0
CHEMBL420,Guanabenz,N=C(N)N/N=C/c1c(Cl)cccc1Cl,1982.0
CHEMBL22,Trimethoprim,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,1973.0
CHEMBL6966,Verapamil,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,1981.0
CHEMBL421,Sulfasalazine,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,1950.0
CHEMBL6466,Coumarin,O=c1ccc2ccccc2o1,
CHEMBL23,Diltiazem,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,1982.0
CHEMBL24,Atenolol,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,1981.0
CHEMBL25,Aspirin,CC(=O)Oc1ccccc1C(=O)O,1950.0
CHEMBL422,Trifluoperazine,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,1959.0
CHEMBL26,Sulpiride,CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,
CHEMBL423,Betaxolol,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,1985.0
CHEMBL424,Salicylic Acid,O=C(O)c1ccccc1O,
CHEMBL425,Olsalazine,O=C(O)c1cc(/N=N/c2ccc(O)c(C(=O)O)c2)ccc1O,1990.0
CHEMBL27,Propranolol,CC(C)NCC(O)COc1cccc2ccccc12,1967.0
CHEMBL6995,Practolol,CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1,
CHEMBL427,Mechlorethamine,CN(CCCl)CCCl,1949.0
CHEMBL29,Penicillin G,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,1947.0
