name,smiles
Harmin (isiriq alkaloidi),COc1ccc2c(c1)[nH]c1c(C)nccc12
Kurkumin,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O
Kversetin,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12
Resveratrol,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1
Kapsaitsin,COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O
Gefitinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1
Benziliden-rodanin (PAINS namunasi),O=C1NC(=S)SC1=Cc1ccccc1
Nitrobenzol (toksik namunasi),[O-][N+](=O)c1ccccc1
Aspirin,CC(=O)Oc1ccccc1C(=O)O
Ibuprofen,CC(C)Cc1ccc(cc1)C(C)C(=O)O
Kofein,Cn1cnc2c1c(=O)n(C)c(=O)n2C
Noto'g'ri SMILES namunasi,C1CC(
